Sold_price,Squarefootage,Type,Style,Community,Municipality District,longitude,latitude,Bedrooms,Dens,Bathrooms,Kitchens,Rooms,Parking Total
424500,250,Condo Apartment,Bachelor/Studio,Waterfront Communities C1,C01,-79.406626,43.636548,0,0,1,1,3,0
430000,1100,Condo Apartment,Apartment,Agincourt South-Malvern West,E07,-79.239186,43.791008,2,1,2,1,5,1
430000,250,Condo Apartment,Bachelor/Studio,Niagara,C01,-79.406626,43.636548,0,0,1,1,2,0
446000,1100,Condo Apartment,Apartment,Eglinton East,E08,-79.234805,43.740723,2,1,1,1,5,1
485000,250,Condo Apartment,Apartment,Waterfront Communities C1,C01,-79.46617,43.66328,1,0,1,1,4,0
415000,850,Condo Apartment,Apartment,Etobicoke West Mall,W08,-79.566445,43.646727,1,0,1,1,4,1
420000,1100,Condo Apartment,Apartment,Kingsview Village-The Westway,W09,-79.557781,43.695333,3,0,1,1,6,1
421000,750,Condo Apartment,Apartment,Morningside,E09,-79.197703,43.785951,1,1,2,1,5,1
463000,550,Condo Apartment,Apartment,Wexford-Maryvale,E04,-79.270857,43.713865,1,0,1,1,4,1
465000,850,Condo Apartment,Apartment,Humberlea-Pelmo Park W5,W05,-79.537003,43.732278,2,0,2,1,5,1
435000,250,Condo Townhouse,Stacked Townhouse,High Park-Swansea,W01,-79.468787,43.636103,1,0,1,1,4,1
441000,650,Condo Apartment,Bungalow,Thorncliffe Park,C11,-79.348661,43.704086,1,0,1,1,3,1
418000,850,Condo Apartment,Apartment,Mount Dennis,W04,-79.505978,43.686974,1,1,1,1,5,1
420000,950,Co-op / Co-Ownership Apartment,Apartment,Islington-City Centre West,W08,-79.563064,43.653387,1,0,1,1,4,1
430000,1100,Condo Apartment,Apartment,Glenfield-Jane Heights,W05,-79.511256,43.737678,3,0,2,1,6,2
437000,650,Condo Apartment,Apartment,Dorset Park,E04,-79.265685,43.752928,1,0,1,1,5,1
390000,250,Condo Apartment,Apartment,New Toronto,W06,-79.510395,43.601591,0,0,1,1,3,1
415000,250,Condo Apartment,Apartment,Waterfront Communities C1,C01,-79.40111,43.640916,0,0,1,1,4,0
415000,1300,Condo Apartment,Apartment,Eglinton East,E08,-79.257812,43.736566,3,0,2,1,6,1
417000,750,Condo Apartment,Apartment,Flemingdon Park,C11,-79.333701,43.710727,1,1,1,1,5,1
423000,950,Condo Apartment,Apartment,Pleasant View,C15,-79.410992,43.76144,1,1,1,1,5,1
445000,550,Condo Apartment,Apartment,Wexford-Maryvale,E04,-79.285559,43.747479,1,1,1,1,5,0
477700,1100,Condo Apartment,Apartment,L'Amoreaux,E05,-79.320437,43.798913,1,1,2,1,4,2
415000,550,Condo Apartment,Apartment,Little Portugal,C01,-79.423654,43.641978,1,1,1,1,4,0
445000,250,Condo Apartment,Apartment,Niagara,C01,-79.406626,43.636548,0,0,1,1,3,0
393000,1100,Co-op / Co-Ownership Apartment,Apartment,Edenbridge-Humber Valley,W08,-79.512354,43.681287,2,0,1,1,5,1
415000,650,Condo Apartment,Apartment,Agincourt North,E07,-79.415612,43.779756,1,1,1,1,4,1
420000,250,Condo Apartment,Bachelor/Studio,Niagara,C01,-79.400357,43.636653,0,0,1,1,1,0
429000,250,Condo Apartment,Apartment,Yorkdale-Glen Park,W04,-79.454705,43.714775,0,0,1,0,1,0
430000,550,Condo Apartment,Apartment,Kensington-Chinatown,C01,-79.389648,43.652488,1,0,1,1,4,0
430000,950,Condo Apartment,Apartment,L'Amoreaux,E05,-79.326164,43.793313,2,0,1,1,5,1
